sr	ru	words	sr_id
Ne trčite.	Не бегайте.	2	4996807
Ne vičite.	Не кричите.	2	4996818
Ne znam.	Я не знаю.	2	3243810
Ne znam.	Не знаю.	2	3243810
Ne žuri.	Не спеши.	2	4996813
Ne žuri.	Не торопись.	2	4996813
Ne žurite.	Не спешите.	2	4996814
Ne žurite.	Не торопитесь.	2	4996814
Ne, hvala.	Нет, спасибо.	2	3254031
Nemam apetit.	У меня нет аппетита.	2	3275410
Nemam broj.	У меня нет номера.	2	3357657
Nemam gitaru.	У меня нет гитары.	2	4782915
Nemam kartu.	У меня нет карты.	2	3247840
Nemam kartu.	У меня нет билета.	2	3247840
Nemam odgovor.	У меня нет ответа.	2	3357592
Nemam pasoš.	У меня нет паспорта.	2	3359501
Nemam pojma.	Понятия не имею.	2	5874173
Nemam predrasuda.	У меня нет предрассудков.	2	3425236
Nemam reči.	У меня нет слов.	2	3414822
Nemam vremena.	У меня нет времени.	2	3357647
Nemamo izbora.	У нас нет выбора.	2	4254043
Nemamo vode.	У нас нет воды.	2	3429741
Nemaš temperaturu.	У тебя нет температуры.	2	3292426
Nešto nedostaje.	Чего-то не хватает.	2	3494449
Nešto novo?	Что-нибудь новое?	2	5003549
Nešto novo?	Что-то новое?	2	5003549
Nije loše.	Неплохо.	2	5003550
Nisam lep.	Я не красивый.	2	4246554
Nisam lepa.	Я не красивая.	2	4246555
Nisam nepismen.	Я не неграмотный.	2	3644439
Nisam star.	Я не старый.	2	3434501
Nisam učitelj.	Я не учитель.	2	2925858
Nisam učiteljica.	Я не учительница.	2	2925859
Nisam vlasnik.	Я не собственник.	2	4972113
Nisam znao.	Я не знал.	2	5955339
Nisu moje.	Они не мои.	2	5002922
Nisu moji.	Они не мои.	2	5002920
Obećala sam.	Я обещала.	2	4992637
Odakle si?	Откуда ты?	2	3334516
Odgovori mi.	Ответь мне.	2	5003616
Odgovorite mi.	Ответьте мне.	2	5003617
Odlično izgledaš.	Отлично выглядишь.	2	665235
Odlično izgledaš.	Ты отлично выглядишь.	2	665235
Odlučila sam.	Я решила.	2	5043661
Odlučio sam.	Я решил.	2	5043659
On pliva.	Он плывёт.	2	3384571
On pliva.	Он плавает.	2	3384571
On pokušava.	Он пытается.	2	5003653
On studira.	Он учится.	2	3386919
Ona plače.	Она плачет.	2	3438837
Ona pliva.	Она плывёт.	2	3384570
Ona pliva.	Она плавает.	2	3384570
Ona puca.	Она стреляет.	2	3478714
Ona čita.	Она читает.	2	13420943
Ona šeta.	Она гуляет.	2	5003670
Oni razgovaraju.	Они разговаривают.	2	3535496
Ono pliva.	Оно плывёт.	2	3384569
Ono pliva.	Оно плавает.	2	3384569
Opraštamo ti.	Мы тебя прощаем.	2	3430519
Oprosti nam.	Прости нас.	2	4997595
Oprostite nam.	Простите нас.	2	4997596
Ostala sam.	Я осталась.	2	4992627
Ovde sam.	Я здесь.	2	4999268
Ovde smo.	Мы здесь.	2	4993212
Pa šta?	И что?	2	3243822
Pada grad.	Идёт град.	2	3267007
Pada kiša.	Идёт дождь.	2	3242666
Pada sneg.	Идет снег.	2	3264898
Padaće kiša.	Пойдёт дождь.	2	3418820
Pametan sam.	Я умный.	2	5043614
Pametna sam.	Я умная.	2	5043615
Pasoš, molim.	Паспорт, пожалуйста.	2	3386990
Plaćam unapred.	Я заплачу вперёд.	2	893558
Plašim se.	Я боюсь.	2	4999357
Pobedila si!	Ты победила!	2	4993170
Pobedili smo!	Мы победили!	2	4993205
Pobedili smo.	Мы победили.	2	2057008
Pobedili ste!	Вы победили!	2	4993171
Pobedio si!	Ты победил!	2	4993169
Pogledaj nebo.	Посмотри на небо.	2	3370031
Pogledaj nebo.	Взгляни на небо.	2	3370031
Pogledaćemo kasnije.	Мы потом посмотрим.	2	4273218
Pokaži mi.	Покажи мне.	2	3439041
Pokreni se!	Пошевеливайся!	2	5909481
Pokušaj opet.	Попробуй снова.	2	3278264
Pomozi mi!	Помоги мне!	2	3478054
Pomozi mi.	Помоги мне.	2	5003629
Pomozite mi.	Помогите мне.	2	5003630
Popij lek.	Выпей лекарство.	2	3484257
Popravljam kuću.	Я ремонтирую дом.	2	3291852
Postajete neobazrivi.	Вы становитесь неосторожными.	2	4273366
Postaješ neobazriv.	Ты становишься неосторожным.	2	4273365
Pozovite policiju!	Вызовите полицию!	2	3243723
Pozovite policiju!	Позовите полицию!	2	3243723
Pošalji telegram!	Пошли телеграмму!	2	3425110
Prazan je.	Он пуст.	2	4992590
Prazan je.	Он пустой.	2	4992590
Prazna je.	Она пуста.	2	4992589
Prazna je.	Она пустая.	2	4992589
Prazno je.	Оно пустое.	2	4992588
Pretoplo je.	Слишком жарко.	2	665301
Prijatno veče.	Приятного вечера.	2	3245710
Prirodan sam.	Я естественный.	2	5043569
Prirodna sam.	Я естественная.	2	5043570
Pričaj polako.	Говори медленно.	2	3435477
Prodajem kafu.	Я продаю кофе.	2	5841797
Propustićeš sve.	Ты всё пропустишь.	2	4254020
Račun, molim.	Счёт, пожалуйста.	2	5003535
Reci joj.	Скажи ей.	2	7009905
Reci mu.	Скажи ему.	2	7009908
Riba je.	Это рыба.	2	4243589
Sada ručaj.	Сейчас обедай.	2	3244332
Samo gledam.	Я просто смотрю.	2	3425923
Samo gledam.	Я только смотрю.	2	3425923
Slušaj pažljivo.	Слушай внимательно.	2	5003552
Slušam muziku.	Я слушаю музыку.	2	3245667
Slušam radio.	Я слушаю радио.	2	3418697
Slušate li?	Вы слушаете?	2	4292396
Slušaš li?	Ты слушаешь?	2	4292395
Smanji televizor.	Сделай телевизор потише.	2	665166
Smisliću nešto.	Я что-нибудь придумаю.	2	4258246
Spavam čvrsto.	Я крепко сплю.	2	4972124
Spreman sam!	Я готов!	2	4992614
Spreman sam.	Я готов.	2	5043584
Spremna sam!	Я готова!	2	4992615
Spremna sam.	Я готова.	2	5043585
Srce bije.	Сердце бьется.	2	11889498
Srećan Božić!	Счастливого Рождества!	2	5003507
Srećan put.	Счастливого пути.	2	3244087
Srećan rođendan!	С днём рождения!	2	3328704
Stidim se.	Мне стыдно.	2	3365485
Stiže voz!	Поезд прибывает!	2	3303906
Studiram Engleski.	Я изучаю английский.	2	3266832
Studiram matematiku.	Я изучаю математику.	2	3411088
Svako zna.	Все знают.	2	4996917
Sve teče.	Всё течёт.	2	5691387
Sve znam.	Я всё знаю.	2	3245813
Svi idu.	Все идут.	2	4997544
Svi pričaju.	Все разговаривают.	2	4996934
Svi tapšu.	Все хлопают.	2	4996903
Svi tapšu.	Все аплодируют.	2	4996903
Svi znaju.	Все знают.	2	4996916
Svi čekaju.	Все ждут.	2	4997552
Taksi čeka.	Такси ждёт.	2	4324208
Tamo je.	Это там.	2	4993351
Tamo je.	Там.	2	4993351
Tata radi.	Папа работает.	2	3430878
Tačno je.	Точно.	2	4248672
Tačno je.	Правильно.	2	4248672
Teška je.	Она тяжёлая.	2	4992594
Teško je.	Тяжело.	2	4992592
Teško je.	Оно тяжёлое.	2	4992592
Težak je.	Он тяжёлый.	2	4992595
Tom je.	Это Том.	2	4993349
Tom peva.	Том поёт.	2	4644919
Tražim asistenta.	Я ищу ассистента.	2	892223
Tražim baterije.	Я ищу батарейки.	2	892213
Tražim posao.	Я ищу работу.	2	892219
Tu smo.	Мы тут.	2	4993214
Tvoj sam.	Я – твой.	2	5043653
Tvoj sam.	Я твой.	2	5043653
Tvoja sam.	Я твоя.	2	5043654
Udobno je.	Оно удобное.	2	4992601
Uključi svetlo.	Включи свет.	2	3425922
Uništen sam.	Я уничтожен.	2	5043610
Unutra smo.	Мы внутри.	2	4993211
Usvojen sam.	Меня усыновили.	2	4999361
Usvojen sam.	Меня удочерили.	2	4999361
Uzmi novac.	Возьми деньги.	2	5626287
Uzmi sve.	Возьми всё.	2	4997601
Uzmite malo.	Возьмите немного.	2	4997626
Učim japanski.	Я учу японский.	2	4264041
Učim korejski.	Я учу корейский.	2	4243342
Učim sada.	Я сейчас учусь.	2	5873225
Učimo španski.	Я учу испанский.	2	3362094
Učiću nemački.	Я буду учить немецкий.	2	2764229
Uđite unutra.	Войдите внутрь.	2	4997609
Vegetarijanac sam.	Я вегетарианец.	2	5043642
Vidim devojčicu.	Я вижу девочку.	2	3440617
Vidim lava.	Я вижу льва.	2	3438807
Vidim nekoga.	Я кого-то вижу.	2	3424903
Vidim ogledalo.	Я вижу зеркало.	2	3478287
Vidim pauka.	Я вижу паука.	2	3440953
Vidim ružu.	Я вижу розу.	2	3437876
Vidim to.	Я это вижу.	2	4250468
Volim boje.	Я люблю краски.	2	3470181
Volim hleb.	Я люблю хлеб.	2	4781352
Volim jezike.	Я люблю языки.	2	3334510
Volim mačke.	Я люблю кошек.	2	4644934
Volim prirodu.	Я люблю природу.	2	3535441
Volim pse.	Я люблю собак.	2	4644935
Volim slatkiše.	Я люблю сладкое.	2	3387075
Volim slatkiše.	Я люблю сладости.	2	3387075
Volim slatko.	Я люблю сладкое.	2	3387076
Volim te.	Я люблю тебя.	2	3253181
Vozi brže.	Едь быстрее.	2	4996899
Vozite brže.	Едьте быстрее.	2	4996900
Vratiću se.	Я вернусь.	2	5599965
Zabavno je.	Это забавно.	2	4993365
Zaboravila sam.	Я забыла.	2	5043666
Zaboravili smo.	Мы забыли.	2	4993216
Zaboravio sam.	Я забыл.	2	5043664
Zaboravite Toma.	Забудьте Тома.	2	4997594
Zatvori prozor.	Закрой окно.	2	664836
Zatvori vrata.	Закрой дверь.	2	3294874
Zatvori vrata.	Закрой ворота.	2	3294874
Završi ovo.	Закончи это.	2	4997588
Zašto ja?	Почему я?	2	5003547
Zašto odlazite?	Почему вы уходите?	2	5919378
Zašto odlaziš?	Почему ты уходишь?	2	5919377
Zašto pitaš?	Почему ты спрашиваешь?	2	3292856
Zdravo, prijatelju!	Привет, друг!	2	5806658
Zezam se.	Я веселюсь.	2	5043552
Znamo dovoljno.	Мы знаем достаточно.	2	5626291
Znaće oni.	Они узнают.	2	4993314
Znaš pravila.	Ты знаешь правила.	2	3645020
Ćitam sve.	Я читаю всё.	2	3494483
Čekala sam.	Я ждала.	2	4992623
Čekam brod.	Я жду корабль.	2	5396784
Čekam brod.	Я жду корабля.	2	5396784
Čekao sam.	Я ждал.	2	4992622
Čekaću ovde.	Я буду ждать здесь.	2	3434924
Čisto je.	Оно чистое.	2	4992604
Šalim se.	Я шучу.	2	5043551
Šališ se?	Ты шутишь?	2	3291028
Šta gledaš?	На что ты смотришь?	2	3425564
Šta hoćeš?	Чего ты хочешь?	2	3303668
Šta hoćeš?	Что ты хочешь?	2	3303668
Šta pije?	Что она пьёт?	2	4243505
Šta pije?	Что он пьёт?	2	4243505
Šta radite?	Что делаете?	2	2332056
Šta radite?	Чем занимаетесь?	2	2332056
Šta radite?	Что вы делаете?	2	2332056
Šta radite?	Чем вы занимаетесь?	2	2332056
Šta radiš?	Что ты делаешь?	2	2332057
Šta tražite?	Что вы ищете?	2	3384102
Šta tražite?	Что Вы ищете?	2	3384102
Šta tražiš?	Что ты ищешь?	2	3384098
Šta tražiš?	Что ищешь?	2	3384098
Šta čitaš?	Что ты читаешь?	2	888815
Šta čitaš?	Что читаешь?	2	888815
Žedan sam.	Мне хочется пить.	2	3243475
Žedan sam.	Я хочу пить.	2	3243475
Žene rade.	Женщины работают.	2	2499852
Auto je plav.	Машина синяя.	3	3334496
Bicikl je moj.	Велосипед мой.	3	3478048
Bili smo poslednji.	Мы были последними.	3	5028634
Bio sam učitelj.	Я был учителем.	3	3430712
Bitkoin je kriptovaluta.	Биткоин — это криптовалюта.	3	7010998
Bole me oči.	У меня болят глаза.	3	3477987
Boli me glava.	У меня болит голова.	3	3243462
Boli me grlo.	У меня болит горло.	3	3275306
Boli te glava?	У тебя болит голова?	3	7014784
Cena nije bitna.	Цена не имеет значения.	3	665363
Cene su pale.	Цены упали.	3	3243930
Da ili ne?	Да или нет?	3	3334520
Da li pušite?	Вы курите?	3	3253701
Da li siguran?	Ты уверен?	3	3243718
Da, volim to!	Да, я это люблю!	3	5894271
Daj mi broj.	Дай мне номер.	3	3244167
Daj mi kašiku.	Дай мне ложку.	3	4790584
Daj mi mač.	Дай мне меч.	3	4781276
Daj mi mleko.	Дай мне молоко.	3	6169164
Daj mi olovku.	Дай мне карандаш.	3	4783004
Daješ loš primer.	Ты подаёшь плохой пример.	3	3425542
Dajte hranu beskućnicima.	Дайте еды бездомным.	3	3362176
Dajte mi kašiku.	Дайте мне ложку.	3	4790585
Dan se završava.	День заканчивается.	3	3314326
Danas je hladno.	Сегодня холодно.	3	4726292
Danas je vruće.	Сегодня жарко.	3	3292476
Danas nema vetra.	Сегодня нет ветра.	3	3248309
Danas očekujem klijenta.	Сегодня я ожидаю клиента.	3	3391272
Danas sam slobodan.	Сегодня я свободен.	3	3307021
Devojka vidi dečaka.	Девочка видит мальчика.	3	5635183
Devojke su spavale.	Девушки спали.	3	4249129
Dodaj još vode.	Добавь ещё воды.	3	5024382
Dodajte još vode.	Добавьте ещё воды.	3	5024383
Doktor zna sve.	Доктор знает всё.	3	5396806
Doktor zna sve.	Доктор всё знает.	3	5396806
Dolaziš li, Tome?	Ты придёшь, Том?	3	4371176
Doneću ti nešto.	Я тебе кое-что принесу.	3	4254003
Dosadno mi je.	Мне скучно.	3	3669334
Drvo lako gori.	Дерево легко загорается.	3	3351973
Držala je kišobran.	Она держала зонтик.	3	3393542
Emili je Engleskinja.	Эмили - англичанка.	3	2925892
Evo nešto interesantno.	Вот кое-что интересное.	3	3395326
Evo šta mislim.	Вот что я думаю.	3	5002292
Fali nam nešto.	Нам чего-то не хватает.	3	3304184
Gde je Lori?	Где Лори?	3	2499649
Gde je Misisipi?	Где находится Миссисипи?	3	3314359
Gde je Teheran?	Где находится Тегеран?	3	3282889
Gde je Tom?	Где Том?	3	12402898
Gde je biletarnica?	Где касса?	3	3402150
Gde je hotel?	Где гостиница?	3	2499652
Gde je kelner?	Где официант?	3	3357157
Gde je knjiga?	Где книга?	3	3334500
Gde je studentkinja?	Где студентка?	3	5294773
Gde je votka?	Где водка?	3	3298602
Gde je žena?	Где женщина?	3	6960614
Gde on živi?	Где он живёт?	3	3295056
Gde sam pogrešila?	Где я ошиблась?	3	4449861
Gde sam pogrešio?	Где я ошибся?	3	4449860
Gde sam sad?	Где я сейчас?	3	5843314
Gde sam sada?	Где я сейчас?	3	5843312
Gde si bio?	Где ты был?	3	3429996
Gde si radila?	Где ты работала?	3	4986885
Gde si radio?	Где ты работал?	3	4986884
Gde si sad?	Где ты сейчас?	3	5843305
Gde si sada?	Где ты сейчас?	3	5039825
Gde smo sad?	Где мы сейчас?	3	5843310
Gde smo sada?	Где мы сейчас?	3	5843307
Gde ste radili?	Где вы работали?	3	4986886
Gde su noževi?	Где ножи?	3	900758
Gde su roditelji?	Где родители?	3	3344183
Gde su rukavice?	Где перчатки?	3	3370808
Gde su rukavice?	Где рукавицы?	3	3370808
Gde su viljuške?	Где вилки?	3	3292581
Gde su žirafe?	Где жирафы?	3	2499863
Gde svi idu?	Куда все идут?	3	3357152
Glasnije, molim te.	Громче, пожалуйста.	3	5003564
Godine su prošle.	Прошли годы.	3	5003642
Gospodine, moj šešir!	Господин, моя шляпа!	3	3254293
Govorite li engleski?	Вы говорите по-английски?	3	3382591
Govoriš li Italijanski?	Ты говоришь по-итальянски?	3	3298587
Govoriš li Latinski?	Ты говоришь на латыни?	3	3341497
Grešim li ikada?	Я когда-нибудь ошибаюсь?	3	4324455
Hajde, pomozi mi.	Давай, помоги мне.	3	4449678
Hajdemo po kafu.	Пойдём кофе попьём.	3	4253974
Heljda je poskupela.	Гречка подорожала.	3	3650891
Hladno mi je.	Мне холодно.	3	6895806
Hoće neko pivo?	Кто-нибудь хочет пива?	3	4324607
Hoće neko pivo?	Кто-нибудь хочет пиво?	3	4324607
Hoćeš li ribe?	Хочешь рыбы?	3	3430782
Hvala na informaciji.	Спасибо за информацию.	3	3244099
Hvala na komentaru.	Спасибо за комментарий.	3	3350398
Hvala vam puno!	Большое вам спасибо!	3	5806622
Hvala. Dobro sam.	Спасибо, хорошо.	3	884783
Idem na plažu.	Я иду на пляж.	3	4250142
Idem na plažu.	Я пойду на пляж.	3	4250142
Idem na putovanje.	Я еду путешествовать.	3	4782117
Idemo li kući?	Мы идём домой?	3	4333664
Idemo po Toma.	Мы сходим за Томом.	3	4247095
Idemo u pozorište.	Мы идём в театр.	3	3418950
Idemo u pozorište.	Мы ходим в театр.	3	3418950
Idi da pogledaš.	Иди посмотри.	3	4324582
Idi prvo ti.	Иди сначала ты.	3	3246279
Idite da pogledate.	Идите посмотрите.	3	4324583
Igrao sam fudbal.	Я играл в футбол.	3	3248255
Ima mnogo posla.	Работы много.	3	3275085
Imam 12 godina.	Мне 12 лет.	3	4246757
Imam 18 godina.	Мне 18 лет.	3	3298895
Imam belog konja.	У меня есть белый конь.	3	3317304
Imam crne oči.	У меня чёрные глаза.	3	3314349
Imam dobru intuiciju.	У меня хорошая интуиция.	3	3342553
Imam dosadan posao.	У меня скучная работа.	3	3424930
Imam dva automobila.	У меня два автомобиля.	3	3425849
Imam dve mačke.	У меня две кошки.	3	3081398
Imam dve ćerke.	У меня две дочери.	3	3265620
Imam li nož?	У меня есть нож?	3	6567915
Imam loš mamurluk.	У меня тяжелое похмелье.	3	4274693
Imam mnogo prijatelja.	У меня много друзей.	3	3245539
Imam ogromne probleme.	У меня огромные проблемы.	3	3432881
Imam ozbiljno pitanje.	У меня есть серьёзный вопрос.	3	5024423
Imam ozbiljno pitanje.	У меня серьёзный вопрос.	3	5024423
Imam plave oči.	У меня голубые глаза.	3	3435556
Imam težak dan.	У меня тяжёлый день.	3	4258205
Imam velikog psa.	У меня есть большая собака.	3	3350424
Imam velikog psa.	У меня большая собака.	3	3350424
Imamo dva sina.	У нас два сына.	3	3412962
Imamo dva televizora.	У нас два телевизора.	3	3425009
Imamo dvoje dece.	У нас двое детей.	3	706338
Imamo petoro dece.	У нас пятеро детей.	3	3362109
Imamo puno hrane.	У нас много еды.	3	4251424
Imate li pitanja?	У вас есть вопросы?	3	3253699
