level	score	vocab	morph	len	clauses	sr	ru	sr_id
1	1.68	0.98	0	4	1	To uopšte nije problem.	Это вообще не проблема.	925345
1	1.69	1.41	0	2	1	Nisam vlasnik.	Я не собственник.	4972113
1	1.69	1.41	0	3	1	Ja nisam vlasnik.	Я не хозяин.	4972114
1	1.69	1.41	0	3	1	Kako je škola?	Как школа?	5843373
1	1.69	0.99	0	4	1	Ne znam gde ću.	Я не знаю, где я буду.	3440938
1	1.70	1.42	0	2	1	Imam izbor.	У меня есть выбор.	8823877
1	1.70	1.41	0	2	1	Volim te.	Я люблю тебя!	565947
1	1.70	1.41	0	2	1	Volim te.	Я люблю тебя.	3253181
1	1.70	1.41	0	3	1	Volim ovu školu.	Я люблю эту школу.	3430868
1	1.70	1.00	0	4	1	Niko ne govori ništa.	Никто ничего не говорит.	8880542
1	1.71	1.01	0	4	1	Niko ga ne vidi.	Никто его не видит.	8849361
1	1.72	1.43	0	3	1	Sve je bitno.	Всё имеет значение.	6535747
1	1.73	1.44	0	3	1	Kako se zove?	Как его зовут?	476810
1	1.73	1.44	0	3	1	Kako se zove?	Как её зовут?	476810
1	1.73	1.44	0	3	1	Neko te zove.	Тебя кто-то зовёт.	1116812
1	1.73	1.03	0	4	1	Ovo je veoma lako!	Это очень легко!	4246064
1	1.74	1.45	0	3	1	Ovo nije kraj.	Это не конец.	4246098
1	1.75	1.46	0	3	1	Ona ga voli.	Она его любит.	3314321
1	1.75	1.46	0	3	1	Voli me sutra!	Люби меня завтра!	3334730
1	1.76	1.47	0	2	1	Imam knjigu.	У меня есть книга.	3434499
1	1.76	1.47	0	2	1	Moje je.	Это моё.	4993374
1	1.76	1.47	0	2	1	Moje je.	Оно моё.	4993374
1	1.76	1.47	0	2	1	Vrati se.	Вернись.	6947932
1	1.76	1.47	0	3	1	To je moje.	Это моё.	8847896
1	1.77	1.48	0	2	1	Ja radim.	Я работаю.	5577304
1	1.77	1.48	0	3	1	Ja radim ovde.	Я работаю здесь.	1097793
1	1.77	1.48	0	3	1	Knjiga je mala.	Книга маленькая.	2155080
1	1.79	1.49	0	3	1	Koja je razlika?	В чём разница?	6369061
1	1.79	1.49	0	3	1	Koja je razlika?	Какая разница?	6369061
1	1.79	1.07	0	4	1	Koji je njegov posao?	Какая у него работа?	5919309
1	1.80	0.00	1	2	2	O, ne!	О нет!	6535682
1	1.80	1.50	0	3	1	Koliko to košta?	Сколько это стоит?	3242663
1	1.80	0.84	1	3	1	Svi su tamo.	Все там.	4997551
1	1.81	1.51	0	2	1	Bog zna.	Бог знает.	5874298
1	1.81	0.84	1	2	1	Tom je.	Это Том.	4993349
1	1.81	1.51	0	3	1	Bog je veliki.	Бог велик.	5557564
1	1.81	0.84	1	3	1	Gde je Tom?	Где Том?	12402898
1	1.81	0.84	1	3	1	Tom nije ovde.	Том не здесь.	3314362
1	1.81	0.84	1	3	1	Tom nije ovde.	Тома здесь нет.	3314362
1	1.81	1.09	0	4	1	Njujork je veliki grad.	Нью-Йорк - большой город.	6954498
1	1.82	1.51	0	2	1	Imaš pravo.	Ты прав.	3243480
1	1.82	1.52	0	2	1	Odakle si?	Откуда ты?	3334516
1	1.82	1.52	0	2	1	Uradi to!	Сделай это!	8851424
1	1.82	1.51	0	2	1	Šta imaš?	Что у тебя?	1113403
1	1.82	1.51	0	2	1	Šta imaš?	Что у тебя есть?	1113403
1	1.82	1.51	0	3	1	Koliko imaš knjiga?	Сколько у тебя книг?	3284534
1	1.82	1.52	0	3	1	Uradi to sada!	Сделай это сейчас!	3304430
1	1.82	1.51	0	3	1	Šta imaš tamo?	Что у тебя там?	4258332
1	1.83	1.52	0	2	1	Nije loše.	Неплохо.	5003550
1	1.83	1.11	0	4	1	Evo šta ja mislim.	Вот что я думаю.	5002291
1	1.83	1.11	0	4	1	Ne govori tako brzo.	Не говори так быстро.	898450
1	1.84	1.53	0	2	1	Imam kuću.	У меня есть дом.	8829996
1	1.84	0.87	1	3	1	Gde si bio?	Где ты был?	3429996
1	1.84	0.87	1	3	1	Šta si rekao?	Что ты сказал?	3440707
1	1.85	1.12	0	4	1	Gde si je video?	Где ты её видел?	888471
1	1.85	1.12	0	4	1	Gde si je video?	Где ты его видел?	888471
1	1.85	1.12	0	4	1	Nisam te video tamo.	Я тебя там не видел.	3380010
1	1.86	1.55	0	3	1	Imam ozbiljno pitanje.	У меня есть серьёзный вопрос.	5024423
1	1.86	1.55	0	3	1	Imam ozbiljno pitanje.	У меня серьёзный вопрос.	5024423
1	1.86	1.55	0	3	1	Čiji je red?	Чья очередь?	1056864
1	1.87	1.56	0	2	1	Drži ovo.	Держи это.	8831007
1	1.87	1.56	0	3	1	Odakle znaš to?	Откуда ты это знаешь?	4243492
1	1.88	1.56	0	3	1	Život se nastavlja!	Жизнь продолжается!	5894339
1	1.88	1.15	0	4	1	Danas je lepo vreme.	Сегодня хорошая погода.	1221198
1	1.88	1.15	0	4	1	Hvala puno za sve!	Большое спасибо за всё!	5806645
1	1.88	1.15	0	4	1	Ovo je važno pitanje.	Это важный вопрос.	3484616
1	1.88	1.15	0	4	1	Važno je za mene.	Это важно для меня.	4250184
1	1.90	0.50	1	4	1	Svi oni su Kanađani.	Все они канадцы.	3267449
1	1.91	1.59	0	2	1	Imam ideju.	У меня есть идея.	2925861
1	1.91	1.59	0	2	1	Imam ideju.	У меня идея.	2925861
1	1.93	0.94	1	2	1	Ništa više?	Больше ничего?	6368381
1	1.93	1.61	0	3	1	Konačno je petak.	Наконец-то пятница.	3651134
1	1.94	1.61	0	2	1	Nešto novo?	Что-нибудь новое?	5003549
1	1.94	1.61	0	2	1	Nešto novo?	Что-то новое?	5003549
1	1.94	1.61	0	2	1	Novo je.	Оно новое.	2263886
1	1.94	1.62	0	2	1	Veliko hvala!	Большое спасибо!	5553211
1	1.94	1.61	0	3	1	Šta ima novo?	Что нового?	2332060
1	1.94	1.20	0	4	1	Ovo je moja zemlja.	Это моя страна.	12222244
1	1.95	1.63	0	2	1	Gde ćeš?	Где ты будешь?	3387240
1	1.95	1.62	0	2	1	Ko zna?	Кто знает?	1178208
1	1.95	1.62	0	3	1	Ko je prva?	Кто первая?	4993204
1	1.95	1.62	0	3	1	Ko je prvi?	Кто первый?	4993203
1	1.95	1.62	0	3	1	Ko je tamo?	Кто там стоит?	3243207
1	1.95	1.62	0	3	1	Ko je to?	Кто это?	3425087
1	1.95	0.80	0	5	1	Ja znam gde je on.	Я знаю, где он.	3391945
1	1.95	0.80	0	5	1	Znam kako se to radi.	Я знаю, как это делается.	4250608
1	1.97	1.64	0	2	1	On pokušava.	Он пытается.	5003653
1	2.00	1.67	0	2	1	Pada grad.	Идёт град.	3267007
1	2.00	1.66	0	2	1	Spreman sam!	Я готов!	4992614
1	2.00	1.66	0	2	1	Spreman sam.	Я готов.	5043584
1	2.00	1.00	1	3	1	Nema na čemu.	Пожалуйста.	399224
1	2.00	1.66	0	3	1	Nisam još spreman.	Я ещё не готов.	6895798
1	2.00	1.67	0	3	1	Stalno govorim to.	Я постоянно это говорю.	5029162
1	2.00	1.00	1	3	1	Tom nema posao.	У Тома нет работы.	4247149
1	2.00	0.58	1	4	1	Oni su već tu.	Они уже тут.	1102228
1	2.01	1.01	1	3	1	On ide dalje.	Он идёт дальше.	3478712
1	2.01	1.01	1	3	1	On ide dalje.	Он едет дальше.	3478712
1	2.01	1.26	0	4	1	Čiji je ovo bicikl?	Чей это велосипед?	3286424
1	2.02	1.69	0	2	1	Imam auto.	У меня есть машина.	6960920
1	2.02	1.69	0	2	1	Imam auto.	У меня есть автомобиль.	6960920
1	2.02	1.68	0	2	1	Koliko duboko?	Как глубоко?	5003570
1	2.03	1.69	0	2	1	Ne razumem.	Я не понимаю.	3242664
1	2.03	1.69	0	2	1	Ne razumem.	Не понимаю.	6369065
1	2.03	1.69	0	2	1	Završi ovo.	Закончи это.	4997588
1	2.03	1.69	0	3	1	Ne razumem problem.	Я не понимаю проблему.	5955187
1	2.03	1.69	0	3	1	Ne znam istinu.	Я не знаю правду.	3432858
1	2.03	1.03	1	3	1	Tom ga koristi.	Том им пользуется.	8835502
1	2.03	1.69	0	3	1	Uvek govori istinu.	Всегда говори правду.	3334401
1	2.04	1.70	0	3	1	Ja se slažem.	Я согласен.	3267413
1	2.04	1.70	0	3	1	Kakav je osećaj?	Как ощущения?	5848023
1	2.04	1.03	1	3	1	Svi kažu tako.	Все так говорят.	5944899
1	2.04	1.03	1	3	1	Svi kažu to.	Все это говорят.	4250672
1	2.05	1.04	1	3	1	Bio si moj.	Ты был моим.	11055431
1	2.05	1.29	0	4	1	On je takav uvek.	Он такой всегда.	1153348
1	2.06	1.72	0	3	1	Danas je ponedeljak.	Сегодня понедельник.	1051837
1	2.06	1.30	0	4	1	Koji je dan sutra?	Какой день завтра?	5874138
1	2.06	1.30	0	4	1	Koji je sutra dan?	Какой завтра день?	5874141
1	2.07	1.73	0	3	1	Gde je hotel?	Где гостиница?	2499652
1	2.07	1.73	0	3	1	Ja sam Marija.	Я Мария.	12217473
1	2.08	1.74	0	3	1	Odgovori na pitanje!	Ответь на вопрос!	895165
1	2.08	1.74	0	3	1	Odgovori na pitanje!	Отвечай на вопрос!	895165
1	2.08	1.32	0	4	1	Gde je moja knjiga?	Где моя книга?	3391152
1	2.08	1.32	0	4	1	Ja imam mnogo knjiga.	У меня много книг.	1232303
1	2.08	1.32	0	4	1	Ovde je neka knjiga.	Здесь какая-то книга.	3438805
1	2.08	1.32	0	4	1	Sve ima svoju cenu.	Всё имеет свою цену.	5785632
1	2.09	1.32	0	4	1	To je nažalost istina.	К сожалению это правда.	3414831
1	2.09	1.32	0	4	1	Zašto niko ne odgovara?	Почему никто не отвечает?	3410279
1	2.10	1.75	0	2	1	Samo gledam.	Я просто смотрю.	6473747
1	2.10	1.75	0	2	1	Samo gledam.	Я только смотрю.	3425923
1	2.10	1.75	0	3	1	Dan se završava.	День заканчивается.	3314326
1	2.10	1.75	0	3	1	Volim ovu pesmu.	Я люблю эту песню.	2763043
1	2.10	1.75	0	3	1	Čije je ovo?	Чьё это?	3281750
1	2.11	1.34	0	4	1	Svako pitanje ima odgovor.	На каждый вопрос есть ответ.	1449010
1	2.11	1.34	0	4	1	Tako je previše lako.	Так слишком легко.	5028958
1	2.11	1.34	0	4	1	To je dobar odgovor.	Это хороший ответ.	5594071
1	2.11	1.34	0	4	1	To je njihova knjiga.	Это их книга.	471057
1	2.12	1.76	0	2	1	Imam porodicu.	У меня есть семья.	2499654
1	2.12	1.35	0	4	1	Eto šta se dešava.	Вот что происходит.	4259757
1	2.12	1.35	0	4	1	To je moja ideja.	Это моя идея.	396701
1	2.13	1.78	0	2	1	Pokušaj opet.	Попробуй снова.	3278264
1	2.13	1.78	0	2	1	Pokušaj ponovo.	Попробуй снова.	2263892
1	2.13	1.78	0	3	1	Ja sam student.	Я студент.	2332068
1	2.13	1.78	0	3	1	Sloboda nema cenu.	У свободы нет цены.	13559440
1	2.13	1.78	0	3	1	Sloboda nema cenu.	Свобода бесценна.	13559440
1	2.13	1.11	1	3	1	Šta imate tamo?	Что у вас там?	4258333
1	2.15	1.79	0	2	1	Koga briga?	Кого это волнует?	6369051
1	2.15	1.80	0	2	1	Volim sport.	Я люблю спорт.	1113746
1	2.15	1.12	1	3	1	Oni su deca.	Они дети.	3535459
1	2.16	1.80	0	2	1	Imam dušu.	У меня есть душа.	8892088
1	2.16	1.38	0	4	1	On je njen otac.	Он её отец.	1179895
1	2.16	1.38	0	4	1	Ovo je moj otac.	Это мой отец.	6533010
1	2.17	1.14	1	2	1	Svi znaju.	Все знают.	4996916
1	2.17	1.81	0	2	1	Volim sunce.	Я люблю солнце.	3293196
1	2.17	1.81	0	2	1	Volim sunce.	Люблю солнце.	3293196
1	2.17	1.81	0	3	1	Ja sam novinar.	Я журналист.	2708802
1	2.17	1.81	0	3	1	Pobeda ili smrt!	Победа или смерть!	6937633
1	2.17	1.81	0	3	1	Put je dug.	Путь долог.	1076692
1	2.17	1.81	0	3	1	Put je dug.	Дорога длинная.	1076692
1	2.17	1.81	0	3	1	Put je dug.	Дорога долгая.	1076692
1	2.17	1.81	0	3	1	Sunce je zvezda.	Солнце - звезда.	3394794
1	2.17	1.81	0	3	1	Sunce je zvezda.	Солнце - это звезда.	3394794
1	2.17	1.14	1	3	1	Svi znaju zakon.	Все знают закон.	3243826
1	2.18	1.40	0	4	1	To nije teško raditi.	Это не трудно делать.	3305532
1	2.19	1.82	0	2	1	Nešto nedostaje.	Чего-то не хватает.	3494449
1	2.19	1.41	0	4	1	To je dobra škola.	Это хорошая школа.	3410448
1	2.19	0.74	1	4	1	Uvek mislim o tome.	Я всегда об этом думаю.	5002950
1	2.20	1.41	0	4	1	Ja volim svoju školu.	Я люблю свою школу.	6533011
1	2.20	1.00	0	5	1	I ja imam taj problem.	И у меня такая же проблема.	8845677
1	2.21	1.84	0	2	1	Spremna sam!	Я готова!	4992615
1	2.21	1.84	0	2	1	Spremna sam.	Я готова.	5043585
1	2.21	1.84	0	3	1	Baš si visok!	Ну и высокий же ты!	1091404
1	2.21	1.84	0	3	1	Ja nisam lekar.	Я не врач.	2634771
1	2.21	1.84	0	3	1	Ja sam lekar.	Я врач.	3440822
1	2.21	1.84	0	3	1	Ja sam lekar.	Я доктор.	3440822
1	2.21	1.84	0	3	1	Ja sam lekar.	Я медик.	3440822
1	2.21	1.84	0	3	1	Ja sam lekar.	Врач — это я.	3440822
1	2.21	1.84	0	3	1	Nisam još spremna.	Я ещё не готова.	6895796
1	2.21	1.84	0	3	1	Vidiš li to?	Ты это видишь?	3246664
1	2.22	1.85	0	2	1	Čisto je.	Оно чистое.	4992604
1	2.22	1.18	1	3	1	Bila si moja.	Ты была моей.	11055433
1	2.22	1.85	0	3	1	Je li čisto?	Оно чистое?	6924611
1	2.22	1.85	0	3	1	Ništa nije besplatno.	Ничто не бесплатно.	3256178
1	2.22	1.85	0	3	1	Sve je besplatno.	Всё бесплатно.	4997563
1	2.22	1.85	0	3	1	Sve je besplatno.	Все бесплатно.	4997563
1	2.22	1.85	0	3	1	To je besplatno.	Это бесплатно.	1097782
1	2.23	1.86	0	2	1	Nisam lepa.	Я не красивая.	4246555
1	2.23	1.86	0	3	1	Doktor zna sve.	Доктор знает всё.	5396806
1	2.23	1.86	0	3	1	Doktor zna sve.	Доктор всё знает.	5396806
1	2.23	1.86	0	3	1	Ja sam doktor.	Я доктор.	3392021
1	2.23	1.86	0	3	1	Kako lepa kuća!	Какой красивый дом!	5002949
1	2.23	1.86	0	3	1	On nije doktor.	Он не доктор.	665383
1	2.23	1.86	0	3	1	Veoma si lepa.	Ты очень красивая.	4967423
1	2.23	1.44	0	4	1	Kako se ovo zove?	Как это называется?	5843361
1	2.23	0.78	1	4	1	Neko je bio ovde.	Кто-то здесь был.	4976038
1	2.23	1.02	0	5	1	Zašto je ovo naš problem?	Почему это наша проблема?	5039823
1	2.24	1.86	0	2	1	Mama radi.	Мама работает.	3430877
1	2.24	1.87	0	3	1	Ne gubi nadu.	Не теряй надежды.	1392042
1	2.24	1.45	0	4	1	Njegova majka je Jugoslovenka.	Его мать югославка.	3486165
1	2.24	1.45	0	4	1	Znam samo njegovo ime.	Я знаю только его имя.	3265450
1	2.24	1.03	0	5	1	Vreme će reći svoju reč.	Время скажет своё слово.	1070681
1	2.26	1.88	0	2	1	Tvoj sam.	Я – твой.	5043653
1	2.26	1.88	0	2	1	Tvoj sam.	Я твой.	5043653
1	2.26	1.88	0	2	1	Vidim nekoga.	Я кого-то вижу.	3424903
1	2.26	1.88	0	3	1	Nisam loš student.	Я не плохой студент.	4972173
1	2.26	1.47	0	4	1	Imam samo jednu knjigu.	У меня только одна книга.	4292441
1	2.26	1.47	0	4	1	Ja volim tu sliku.	Я люблю ту картину.	1042302
1	2.26	1.47	0	4	1	Ovo je moje pitanje.	Это мой вопрос.	476590
1	2.27	1.89	0	2	1	On čita.	Он читает.	6960923
1	2.27	1.89	0	2	1	Ona čita.	Она читает.	13420943
1	2.27	1.89	0	3	1	Šta je sreća?	Что такое счастье?	3440313
1	2.27	0.64	0	4	2	Dobro, kao i uvek.	Хорошо, как и всегда.	5806618
1	2.27	1.48	0	4	1	I ja to radim.	И я это делаю.	6532994
1	2.27	1.48	0	4	1	Šta ja radim ovde?	Что я здесь делаю?	6391077
1	2.27	1.48	0	4	1	Šta ja radim ovde?	Что я делаю здесь?	6391076
1	2.28	1.90	0	2	1	Nemam kartu.	У меня нет карты.	3247840
1	2.28	1.90	0	2	1	Nemam kartu.	У меня нет билета.	3247840
1	2.28	1.90	0	2	1	Teška je.	Она тяжёлая.	4992594
1	2.29	1.91	0	2	1	Mlada sam.	Я молода.	6905822
