sr	ru	words	top2000	sr_id
Ljubazan je.	Он любезный.	2	0	2271280
Ljudi greše.	Люди ошибаются.	2	0	6900217
Loše plivam.	Я плохо плаваю.	2	0	3387078
Mama radi.	Мама работает.	2	1	3430877
Mama, požuri!	Мама, поторопись!	2	1	3390925
Mačka jede.	Кошка ест.	2	0	1228507
Mene vole.	Меня любят.	2	1	2175402
Mlad sam.	Я молод.	2	0	6905813
Mlad sam.	Я молодой.	2	0	6905813
Mlada sam.	Я молода.	2	1	6905822
Mnogo hvala!	Большое спасибо!	2	1	1157180
Moje je.	Это моё.	2	1	4993374
Moje je.	Оно моё.	2	1	4993374
Mraz je.	Морозно.	2	0	1228538
Mrtav si.	Ты мёртв.	2	1	4243583
Mrzim hemiju.	Ненавижу химию.	2	0	3644416
Mrzim karaoke.	Ненавижу караоке.	2	0	11055427
Mrzim komarce.	Ненавижу комаров.	2	0	1200590
Mrzim muškarce.	Я ненавижу мужчин.	2	0	13969396
Mrzim te.	Ненавижу тебя.	2	1	805594
Mrzim školu.	Я ненавижу школу.	2	1	4781399
Mrzim školu.	Ненавижу школу.	2	1	4781399
Mrzimo Toma.	Мы ненавидим Тома.	2	0	4782995
Napad je.	Это нападение.	2	1	4246925
Napiši nešto.	Напиши что-нибудь.	2	0	6535673
Napišite nešto.	Напишите что-нибудь.	2	0	6535674
Napušteno je.	Оно заброшенное.	2	0	4992596
Nađi posao!	Найди работу!	2	1	3439022
Ne brini.	Не беспокойся.	2	1	465950
Ne brini.	Не волнуйся.	2	1	465950
Ne gledaj.	Не смотри.	2	1	4995904
Ne gledajte.	Не смотрите.	2	1	4995906
Ne govori.	Не говори.	2	1	4996840
Ne govorite.	Не говорите.	2	1	4996842
Ne mogu.	Я не могу.	2	1	1056515
Ne mogu.	Не могу.	2	1	1056515
Ne pevaj.	Не пой.	2	0	4996826
Ne pevajte.	Не пойте.	2	0	4996828
Ne pevam.	Я не пою.	2	0	2708807
Ne pucaj!	Не стреляй!	2	0	3439027
Ne pucajte!	Не стреляйте!	2	0	6384779
Ne razgovaraj.	Не разговаривай.	2	0	4996884
Ne razgovarajte.	Не разговаривайте.	2	0	4996892
Ne razumem.	Я не понимаю.	2	1	3242664
Ne razumem.	Не понимаю.	2	1	6369065
Ne trči.	Не беги.	2	0	4996805
Ne trči.	Не бегай.	2	0	4996805
Ne trčite.	Не бегите.	2	0	4996807
Ne trčite.	Не бегайте.	2	0	4996807
Ne vičite.	Не кричите.	2	0	4996818
Ne znam.	Я не знаю.	2	1	3243810
Ne znam.	Не знаю.	2	1	3243810
Ne žuri.	Не спеши.	2	0	4996813
Ne žuri.	Не торопись.	2	0	4996813
Ne žurite.	Не спешите.	2	0	4996814
Ne žurite.	Не торопитесь.	2	0	4996814
Ne, hvala.	Нет, спасибо.	2	1	3254031
Nego šta!	Безусловно!	2	1	8846192
Nemam apetit.	У меня нет аппетита.	2	0	3275410
Nemam broj.	У меня нет номера.	2	1	3357657
Nemam gitaru.	У меня нет гитары.	2	0	4782915
Nemam kartu.	У меня нет карты.	2	1	3247840
Nemam kartu.	У меня нет билета.	2	1	3247840
Nemam odgovor.	У меня нет ответа.	2	1	3357592
Nemam pasoš.	У меня нет паспорта.	2	0	3359501
Nemam pojma.	Совсем не знаю.	2	1	396750
Nemam pojma.	Понятия не имею.	2	1	396750
Nemam predrasuda.	У меня нет предрассудков.	2	0	3425236
Nemam reči.	У меня нет слов.	2	1	3414822
Nemam vremena.	У меня нет времени.	2	1	3357647
Nemamo izbora.	У нас нет выбора.	2	1	4254043
Nemamo vode.	У нас нет воды.	2	1	3429741
Nemaš temperaturu.	У тебя нет температуры.	2	0	3292426
Nešto nedostaje.	Чего-то не хватает.	2	1	3494449
Nešto novo?	Что-нибудь новое?	2	1	5003549
Nešto novo?	Что-то новое?	2	1	5003549
Nije hladno.	Не холодно.	2	1	1243595
Nije loše.	Неплохо.	2	1	5003550
Nije moguće!	Не может быть!	2	1	1221185
Nisam bogat.	Я не богат.	2	0	6900204
Nisam grofica.	Я не графиня.	2	0	5628245
Nisam lep.	Я не красивый.	2	1	4246554
Nisam lepa.	Я не красивая.	2	1	4246555
Nisam nepismen.	Я не неграмотный.	2	0	3644439
Nisam pevač.	Я не певец.	2	0	8874148
Nisam pevačica.	Я не певица.	2	0	8874150
Nisam star.	Я не старый.	2	1	3434501
Nisam učitelj.	Я не учитель.	2	0	2925858
Nisam učiteljica.	Я не учительница.	2	0	2925859
Nisam vlasnik.	Я не собственник.	2	0	4972113
Nisam vojnik.	Я не солдат.	2	0	12405859
Nisam znao.	Я не знал.	2	1	5955339
Nisu moje.	Они не мои.	2	1	5002922
Nisu moji.	Они не мои.	2	1	5002920
Ništa više?	Больше ничего?	2	1	6368381
Novo je.	Оно новое.	2	1	2263886
O Bože!	О Боже!	2	1	5963141
O, ne!	О нет!	2	1	6535682
Obećala sam.	Я обещала.	2	0	4992637
Obožavam jesen.	Обожаю осень.	2	0	5557521
Odakle si?	Откуда ты?	2	1	3334516
Odgovori mi.	Ответь мне.	2	1	5003616
Odgovorite mi.	Ответьте мне.	2	0	5003617
Odlazim ujutru.	Я уезжаю утром.	2	1	6900011
Odlično izgledaš.	Отлично выглядишь.	2	1	665235
Odlično izgledaš.	Ты отлично выглядишь.	2	1	665235
Odlučila sam.	Я решила.	2	0	5043661
Odlučio sam.	Я решил.	2	1	5043659
On pliva.	Он плывёт.	2	0	3384571
On pliva.	Он плавает.	2	0	3384571
On pokušava.	Он пытается.	2	1	5003653
On studira.	Он учится.	2	0	3386919
On trči.	Он бежит.	2	0	2263846
On trči.	Он бегает.	2	0	2263846
On čita.	Он читает.	2	0	6960923
Ona plače.	Она плачет.	2	0	3438837
Ona pliva.	Она плывёт.	2	0	3384570
Ona pliva.	Она плавает.	2	0	3384570
Ona puca.	Она стреляет.	2	0	3478714
Ona čita.	Она читает.	2	0	13420943
Ona šeta.	Она гуляет.	2	0	5003670
Oni razgovaraju.	Они разговаривают.	2	0	1266686
Ono pliva.	Оно плывёт.	2	0	3384569
Ono pliva.	Оно плавает.	2	0	3384569
Opraštamo ti.	Мы тебя прощаем.	2	0	3430519
Oprosti nam.	Прости нас.	2	1	4997595
Oprostite nam.	Простите нас.	2	1	4997596
Ostala sam.	Я осталась.	2	1	4992627
Otvorite prozor!	Откройте окно!	2	0	1135352
Ovde sam.	Я здесь.	2	1	4999268
Ovde smo.	Мы здесь.	2	1	4993212
Ovde spavam.	Здесь я сплю.	2	1	10686088
Pa šta?	И что?	2	1	3243822
Pada grad.	Идёт град.	2	1	3267007
Pada kiša.	Идёт дождь.	2	0	3242666
Pada sneg.	Идет снег.	2	0	3264898
Pada sneg.	Идёт снег.	2	0	6673719
Padaće kiša.	Пойдёт дождь.	2	0	3418820
Pametan sam.	Я умный.	2	1	5043614
Pametna sam.	Я умная.	2	0	5043615
Pasoš, molim.	Паспорт, пожалуйста.	2	0	3386990
Pečem hleb.	Я пеку хлеб.	2	0	8874145
Pijete kafu?	Ты пьёшь кофе?	2	0	1168708
Pipni ga.	Потрогай его.	2	0	8852380
Pipni ga.	Прикоснись к нему.	2	0	8852380
Pipni ga.	Пощупай его.	2	0	8852380
Pitaj Aleksa.	Спроси у Алекса.	2	0	2263852
Plaćam unapred.	Я заплачу вперёд.	2	0	893558
Plašim se.	Я боюсь.	2	1	4999357
Pobedila si!	Ты победила!	2	0	4993170
Pobedili smo!	Мы победили!	2	0	4993205
Pobedili smo.	Мы победили.	2	0	2057008
Pobedili ste!	Вы победили!	2	0	4993171
Pobedili su.	Они победили.	2	0	6535748
Pobedio si!	Ты победил!	2	0	4993169
Pogledaj nebo.	Посмотри на небо.	2	0	3370031
Pogledaj nebo.	Взгляни на небо.	2	0	3370031
Pogledaj tamo.	Посмотри там.	2	1	6535758
Pogledajte tamo.	Посмотрите там.	2	1	6535759
Pogledaćemo kasnije.	Мы потом посмотрим.	2	0	4273218
Pokaži mi.	Покажи мне.	2	1	3439041
Pokreni se!	Пошевеливайся!	2	0	5909481
Pokušaj opet.	Попробуй снова.	2	1	3278264
Pokušaj ponovo.	Попробуй снова.	2	1	2263892
Pokušajte ponovo.	Попробуйте снова.	2	0	2263893
Poljubi me!	Поцелуй меня.	2	0	1153979
Poljubi me.	Поцелуй меня.	2	0	1166819
Pomozi mi!	Помоги мне!	2	1	3478054
Pomozi mi.	Помоги мне.	2	1	5003629
Pomozite mi.	Помогите мне.	2	1	5003630
Popij lek.	Выпей лекарство.	2	0	3484257
Popravi sat.	Почини часы.	2	0	1065882
Popravljam kuću.	Я ремонтирую дом.	2	0	3291852
Postajete neobazrivi.	Вы становитесь неосторожными.	2	0	4273366
Postaješ neobazriv.	Ты становишься неосторожным.	2	0	4273365
Pozovite policiju!	Вызовите полицию!	2	0	3243723
Pozovite policiju!	Позовите полицию!	2	0	3243723
Početnik sam.	Я начинающий.	2	0	5848246
Pošalji telegram!	Пошли телеграмму!	2	0	3425110
Požuri malo!	Поспеши немножко!	2	1	398506
Prazan je.	Он пуст.	2	0	4992590
Prazan je.	Он пустой.	2	0	4992590
Prazna je.	Она пуста.	2	0	4992589
Prazna je.	Она пустая.	2	0	4992589
Prazno je.	Оно пустое.	2	0	4992588
Pretoplo je.	Слишком жарко.	2	0	665301
Prijatno veče.	Приятного вечера.	2	0	3245710
Prirodan sam.	Я естественный.	2	0	5043569
Prirodna sam.	Я естественная.	2	0	5043570
Pričaj polako.	Говори медленно.	2	1	5944894
Probudite se!	Проснитесь!	2	0	5558019
Probudite se!	Просыпайтесь!	2	0	5558019
Prodajem kafu.	Я продаю кофе.	2	0	5841956
Propustićeš sve.	Ты всё пропустишь.	2	0	4254020
Psi laju.	Собаки лают.	2	0	1734121
Psi laju.	Псы лают.	2	0	1734121
Ptice lete.	Птицы летают.	2	0	2263871
Ptice pevaju.	Птицы поют.	2	0	2263899
Ptice pevaju.	Поют птицы.	2	0	2263899
Radite ovde?	Вы здесь работаете?	2	1	5800246
Razumela sam.	Я поняла.	2	0	2263859
Razumela sam.	Поняла.	2	0	2263859
Razumeo sam.	Я понял.	2	1	2263858
Razumeo sam.	Понял.	2	1	2263858
Račun, molim.	Счёт, пожалуйста.	2	1	5003535
Raširenost kompjutera.	Распространение компьютеров.	2	0	1157201
Reci joj.	Скажи ей.	2	1	7009905
Reci mu.	Скажи ему.	2	1	7009909
Reka teče.	Река течёт.	2	0	1533431
Riba je.	Это рыба.	2	0	4243589
Ruke uvis!	Руки вверх!	2	0	392453
Sada ručaj.	Сейчас обедай.	2	0	3244332
Saglasan sam.	Согласен.	2	0	1133560
Samo gledam.	Я просто смотрю.	2	1	6473747
Samo gledam.	Я только смотрю.	2	1	3425923
Slušaj pažljivo.	Слушай внимательно.	2	1	5003552
Slušam muziku.	Я слушаю музыку.	2	0	1168695
Slušam radio.	Я слушаю радио.	2	1	3418697
Slušate li?	Вы слушаете?	2	0	4292396
Slušaš li?	Ты слушаешь?	2	0	4292395
Smanji televizor.	Сделай телевизор потише.	2	0	665166
Smisliću nešto.	Я что-нибудь придумаю.	2	0	4258246
Smrt kolonijalizmu!	Смерть колониализму!	2	0	12678699
Spava li?	Спит?	2	1	8854949
Spavam čvrsto.	Я крепко сплю.	2	0	4972124
Sporo čitam.	Я медленно читаю.	2	0	5628180
Spreman sam!	Я готов!	2	1	4992614
Spreman sam.	Я готов.	2	1	5043584
Spremna sam!	Я готова!	2	1	4992615
Spremna sam.	Я готова.	2	1	5043585
Srce bije.	Сердце бьется.	2	0	11889498
Srećan Božić!	Счастливого Рождества!	2	1	5003507
Srećan put.	Счастливого пути.	2	1	3244087
Srećan rođendan!	С днём рождения!	2	1	398928
Starica kašlje.	Старуха кашляет.	2	0	1949834
Starica kašlje.	Старушка кашляет.	2	0	1949834
Stidim se.	Мне стыдно.	2	0	3365485
Stiže voz!	Поезд прибывает!	2	1	3303906
Studiram Engleski.	Я изучаю английский.	2	0	3266832
Studiram matematiku.	Я изучаю математику.	2	0	3411088
Svako zna.	Все знают.	2	1	4996917
Sve teče.	Всё течёт.	2	0	5691391
Sve znam.	Я всё знаю.	2	1	3245813
Svi greše.	Все ошибаются.	2	0	8917511
Svi idu.	Все идут.	2	1	4997544
Svi pričaju.	Все разговаривают.	2	0	4996934
Svi tapšu.	Все хлопают.	2	0	4996903
Svi tapšu.	Все аплодируют.	2	0	4996903
Svi znaju.	Все знают.	2	1	4996916
Svi čekaju.	Все ждут.	2	0	4997552
Tako misliš?	Ты так думаешь?	2	1	5785654
Taksi čeka.	Такси ждёт.	2	1	4324208
Tamo je.	Это там.	2	1	4993351
Tamo je.	Там.	2	1	4993351
Tata radi.	Папа работает.	2	1	3430878
Tačan je.	Он пунктуален.	2	0	11057720
Tačno je.	Точно.	2	1	4248672
Tačno je.	Правильно.	2	1	4248672
Teška je.	Она тяжёлая.	2	0	4992594
Teško je.	Тяжело.	2	1	1060932
Teško je.	Это тяжело.	2	1	1060932
Teško je.	Оно тяжёлое.	2	1	1060932
Težak je.	Он тяжёлый.	2	1	4992595
Tom je.	Это Том.	2	1	4993349
Tom peva.	Том поёт.	2	0	4644919
Tom čita.	Том читает.	2	0	8844366
Tražim asistenta.	Я ищу ассистента.	2	0	892223
Tražim baterije.	Я ищу батарейки.	2	0	892213
Tražim posao.	Я ищу работу.	2	1	892219
Tu smo.	Мы тут.	2	1	4993214
Tvoj sam.	Я – твой.	2	1	5043653
Tvoj sam.	Я твой.	2	1	5043653
Tvoja sam.	Я твоя.	2	1	5043654
Udobno je.	Оно удобное.	2	0	4992601
Uključi svetlo.	Включи свет.	2	0	3425922
Ukusno miriše!	Вкусно пахнет!	2	0	1157213
Umrla je.	Она умерла.	2	1	8851959
Uništen sam.	Я уничтожен.	2	0	5043610
Unutra smo.	Мы внутри.	2	1	4993211
Uradi to!	Сделай это!	2	1	8851424
Usvojen sam.	Меня усыновили.	2	0	4999361
Usvojen sam.	Меня удочерили.	2	0	4999361
Uvek kasniš.	Ты всегда опаздываешь.	2	0	8888738
Uzmi novac.	Возьми деньги.	2	1	5626287
Uzmi sve.	Возьми всё.	2	1	4997601
Uzmite malo.	Возьмите немного.	2	1	4997626
Učim japanski.	Я учу японский.	2	0	4264041
Učim korejski.	Я учу корейский.	2	0	4243342
Učim sada.	Я сейчас учусь.	2	0	5873225
Učimo španski.	Я учу испанский.	2	0	3362094
Učiću nemački.	Я буду учить немецкий.	2	0	2764229
Uđite unutra.	Войдите внутрь.	2	1	4997609
Vegetarijanac sam.	Я вегетарианец.	2	0	5043642
Veliko hvala!	Большое спасибо!	2	1	5553211
Veoma dobro!	Очень хорошо!	2	1	5552596
Verujte mi.	Верьте мне.	2	0	6535651
Verujte mi.	Поверьте мне.	2	0	6535651
Vidim devojčicu.	Я вижу девочку.	2	0	3440617
Vidim lava.	Я вижу льва.	2	0	3438807
Vidim nekoga.	Я кого-то вижу.	2	1	3424903
Vidim ogledalo.	Я вижу зеркало.	2	0	3478287
Vidim pauka.	Я вижу паука.	2	0	3440953
Vidim ružu.	Я вижу розу.	2	0	3437876
Vidim to.	Я это вижу.	2	1	4250468
Vidimo se!	До встречи!	2	1	6369112
Volim astronomiju.	Я люблю астрономию.	2	0	11060641
Volim boje.	Я люблю краски.	2	1	3470181
Volim Francusku.	Я люблю Францию.	2	0	8890372
Volim hleb.	Я люблю хлеб.	2	0	4781352
Volim jezike.	Я люблю языки.	2	0	3334510
Volim mačke.	Я люблю кошек.	2	0	4644934
Volim prirodu.	Я люблю природу.	2	0	3535441
Volim pse.	Я люблю собак.	2	0	4644935
Volim slatkiše.	Я люблю сладкое.	2	0	3387075
Volim slatkiše.	Я люблю сладости.	2	0	3387075
Volim slatko.	Я люблю сладкое.	2	1	3387076
Volim sport.	Я люблю спорт.	2	0	1113746
Volim sunce.	Я люблю солнце.	2	1	3293196
Volim sunce.	Люблю солнце.	2	1	3293196
Volim te.	Я люблю тебя!	2	1	565947
Volim te.	Я люблю тебя.	2	1	3253181
Volim vatromete	Я люблю фейерверки.	2	0	8823770
Volim zabave.	Я люблю праздники.	2	0	1054401
Vozi brže.	Едь быстрее.	2	1	4996899
Vozite brže.	Едьте быстрее.	2	0	4996900
Vrati se.	Вернись.	2	1	6947932
Vratiću se.	Я вернусь.	2	0	5599965
Za što?	Для чего?	2	1	1157214
Zabavno je.	Это забавно.	2	1	4993365
Zaboravila sam.	Я забыла.	2	1	6018054
Zaboravili smo.	Мы забыли.	2	0	6018047
Zaboravio sam.	Я забыл.	2	1	6018051
Zaboravite Toma.	Забудьте Тома.	2	0	4997594
Zaslužujem to.	Я заслуживаю этого.	2	0	5848781
Zatvori prozor.	Закрой окно.	2	1	664836
Zatvori vrata.	Закрой дверь.	2	1	3294874
Zatvori vrata.	Закрой ворота.	2	1	3294874
Zatvorite vrata!	Закройте дверь!	2	0	1135357
Zatvorite vrata!	Закройте ворота!	2	0	1135357
Završi ovo.	Закончи это.	2	1	4997588
Zašto ja?	Почему я?	2	1	6314412
Zašto ne?	Почему нет?	2	1	1946216
Zašto odlazite?	Почему вы уходите?	2	0	5919378
Zašto odlaziš?	Почему ты уходишь?	2	0	5919377
Zašto pitaš?	Почему ты спрашиваешь?	2	1	3292856
Zašto to?	Почему так?	2	1	6307691
Zdravo, prijatelju!	Привет, друг!	2	1	5806661
Zezam se.	Я веселюсь.	2	0	5043552
Znam ga.	Я его знаю.	2	1	8847981
Znam gospodina.	Я знаю господина.	2	0	5848212
Znamo dovoljno.	Мы знаем достаточно.	2	1	5626291
Znamo ga.	Мы его знаем.	2	1	1085887
Znaće oni.	Они узнают.	2	0	4993314
Znaš pravila.	Ты знаешь правила.	2	1	3645020
Ćao, Tome.	Привет, Том.	2	1	466204
Ćitam sve.	Я читаю всё.	2	0	3494483
Čekala sam.	Я ждала.	2	0	4992623
Čekam autobus.	Я жду автобус.	2	0	6475473
Čekam brod.	Я жду корабль.	2	1	5396784
Čekam brod.	Я жду корабля.	2	1	5396784
Čekam mamu.	Я жду маму.	2	1	6923396
Čekao sam.	Я ждал.	2	0	4992622
Čekaću ovde.	Я буду ждать здесь.	2	0	3434924
Čisto je.	Оно чистое.	2	1	4992604
Šalim se.	Я шучу.	2	0	5043551
Šališ se?	Ты шутишь?	2	1	3291028
Širite esperanto!	Распространяйте эсперанто!	2	0	1505816
Šta gledaš?	На что ты смотришь?	2	1	3425564
Šta hoćeš?	Чего ты хочешь?	2	1	3303668
Šta hoćeš?	Что ты хочешь?	2	1	3303668
Šta imaš?	Что у тебя?	2	1	1113403
Šta imaš?	Что у тебя есть?	2	1	1113403
Šta pije?	Что она пьёт?	2	0	4243505
Šta pije?	Что он пьёт?	2	0	4243505
Šta radite?	Что делаете?	2	1	2332056
Šta radite?	Чем занимаетесь?	2	1	2332056
Šta radite?	Что вы делаете?	2	1	2332056
Šta radite?	Чем вы занимаетесь?	2	1	2332056
Šta radiš?	Что ты делаешь?	2	1	2332057
Šta tražite?	Что вы ищете?	2	1	3384102
Šta tražiš?	Что ты ищешь?	2	1	3384098
Šta tražiš?	Что ищешь?	2	1	3384098
Šta čitaš?	Что ты читаешь?	2	0	6365240
Šta čitaš?	Что читаешь?	2	0	6365240
Žedan sam.	Мне хочется пить.	2	0	3243475
